TS,Tamb,Hamb,DirVento,VelVento,NivelAgua,NivelAguaC,radSolar,Ttanque1,Ttanque2,Ttanque3
832158347,-45,0,291.7302,18.70968,69.50146,0,1588.856,22.18362,23.43446,24.41496
832158357,-45,0,292.0821,18.739,69.59922,0,1592.375,20.83199,23.97531,23.90778
832158367,-45,0,291.0264,18.59237,69.20821,0,1592.375,20.83199,23.60338,24.5841
832158377,-45,0,291.3783,18.70968,69.59922,0,1608.211,21.06845,24.1783,25.66661
832158387,-45,0,291.3783,18.65103,69.30596,0,1587.097,20.42661,24.11057,25.53114
832160019,-45,0,289.2669,18.5044,69.11046,0,1565.982,21.67663,23.13006,25.53114
832160029,-45,0,290.3226,18.32845,68.81721,0,1573.021,22.18362,24.21217,24.71936
832160039,-45,0,292.434,18.6217,69.59922,0,1574.78,21.10232,24.68549,24.31357
832160049,-45,0,290.6745,18.53372,69.20821,0,1567.742,21.54157,24.14444,24.4827
832160059,-45,0,289.9707,18.53372,68.91496,0,1555.425,20.83199,24.21217,26.44473
832160069,-45,0,291.0264,18.5044,69.11046,0,1578.299,20.42661,24.92235,25.22675
832160079,-45,0,290.3226,18.53372,69.30596,0,1583.578,21.6091,23.90778,24.88849
832160089,-45,0,289.6188,18.44575,68.81721,0,1574.78,21.30491,24.07691,25.36221
832160099,-45,0,290.6745,18.47507,68.81721,0,1585.337,21.37264,24.4827,25.83574
832160109,-45,0,291.0264,18.44575,68.71945,0,1573.021,20.29134,23.70478,25.02375
832160119,-45,0,291.7302,18.6217,69.50146,0,1580.059,20.89952,23.90778,25.46361
832160129,-45,0,290.3226,18.3871,69.79472,0,1587.097,20.42661,23.67112,25.49748
832160139,-45,0,291.0264,18.47507,68.91496,0,1576.54,19.98755,24.31357,24.61796
832160149,-45,0,292.7859,18.65103,69.69697,0,1601.173,20.93339,24.11057,24.44883
832160159,-45,0,293.8416,18.739,69.79472,0,1601.173,21.47404,23.87391,25.15922
832160169,-45,0,291.3783,18.56305,69.20821,0,1604.692,19.68356,23.23146,25.02375
832160179,-45,0,288.9149,18.41642,69.20821,0,1611.73,20.96706,23.56952,25.90347
832160189,-45,0,291.7302,18.53372,69.50146,0,1617.009,20.89952,25.09148,25.22675
832160199,-45,0,292.0821,18.56305,69.30596,0,1604.692,21.54157,24.55023,24.65183
832160209,-45,0,289.2669,18.3871,68.6217,0,1611.73,20.39274,24.04304,25.22675
832160219,-45,0,289.9707,18.41642,68.81721,0,1615.249,21.13598,23.50199,25.29448
832160229,-45,0,289.6188,18.41642,68.81721,0,1627.566,20.49414,24.85462,24.99009
832160239,-45,0,289.9707,18.41642,68.81721,0,1611.73,20.42661,25.09148,25.768
832160249,-45,0,289.9707,18.44575,68.71945,0,1613.49,20.93339,24.65183,24.4827
832160259,-45,0,292.0821,18.59237,69.40372,0,1625.806,20.7306,24.31357,25.63274
832160269,-45,0,293.4897,18.70968,69.59922,0,1599.413,21.57544,24.82096,24.68549
832160280,-45,0,290.6745,18.53372,69.40372,0,1609.971,20.79813,24.3811,25.59887
832160290,-45,0,291.3783,18.6217,69.50146,0,1624.047,21.54157,25.32835,25.63274
832160300,-45,0,289.9707,18.29912,68.03519,0,1599.413,19.98755,24.44883,25.19288
832160310,-45,0,290.6745,18.47507,69.11046,0,1613.49,20.96706,24.24583,25.70047
832160320,-45,0,291.3783,18.6217,69.59922,0,1624.047,21.74417,23.53585,25.15922
832160330,-45,0,289.9707,18.44575,68.91496,0,1608.211,22.11589,24.51636,24.34743
832160340,-45,0,292.434,18.59237,69.50146,0,1618.768,21.44018,23.70478,24.75323
832160350,-45,0,290.6745,18.5044,69.30596,0,1615.249,20.76446,24.51636,24.61796
832160360,-45,0,291.3783,18.56305,69.01271,0,1601.173,20.86566,22.82587,25.83574
832160370,-45,0,291.0264,18.59237,69.50146,0,1615.249,19.71723,23.60338,25.09148
832160380,-45,0,292.434,18.59237,69.40372,0,1608.211,22.04836,23.70478,24.82096
832160390,-45,0,289.2669,18.44575,68.91496,0,1611.73,20.39274,23.90778,24.11057
832160400,-45,0,289.2669,18.41642,68.91496,0,1606.452,20.05508,24.44883,24.92235
832160410,-45,0,289.6188,18.41642,68.91496,0,1609.971,21.30491,24.61796,24.85462
832160420,-45,0,288.9149,18.29912,68.13294,0,1595.894,21.16985,23.73865,25.19288
832160430,-45,0,287.8592,18.24047,68.03519,0,1606.452,21.8119,23.53585,25.05762
832160440,-45,0,288.2112,18.32845,69.01271,0,1601.173,22.18362,24.1783,25.53114
832160450,-45,0,292.434,18.56305,69.40372,0,1611.73,21.10232,23.70478,25.09148
832160460,-45,0,288.2112,18.24047,68.32845,0,1611.73,21.33878,23.63725,24.04304
832160470,-45,0,287.8592,18.24047,68.13294,0,1606.452,20.35908,24.44883,25.49748
832160480,-45,0,288.2112,18.41642,68.6217,0,1609.971,21.87943,23.60338,25.05762
832160490,-45,0,290.3226,18.41642,68.81721,0,1606.452,21.23738,23.29919,25.26061
832160500,-45,0,289.9707,18.29912,68.91496,0,1588.856,22.28502,23.43446,25.70047
832160510,-45,0,287.8592,18.24047,68.32845,0,1613.49,21.44018,24.4827,24.5841
832160520,-45,0,289.2669,18.41642,68.91496,0,1618.768,21.74417,23.87391,25.70047
832160530,-45,0,289.2669,18.3871,68.52395,0,1609.971,20.25768,24.1783,24.51636
832160540,-45,0,288.563,18.29912,68.32845,0,1597.654,21.50771,24.2797,24.88849
832160550,-45,0,288.2112,18.26979,68.13294,0,1604.692,21.8119,23.80618,25.80187
832160560,-45,0,287.8592,18.26979,68.32845,0,1602.932,21.57544,23.80618,24.4827
832160570,-45,0,290.3226,18.47507,68.91496,0,1608.211,19.58217,24.1783,24.4827
832160580,-45,0,288.563,18.32845,68.71945,0,1585.337,21.64277,24.00917,24.65183
832160590,-45,0,289.2669,18.32845,68.4262,0,1606.452,21.74417,23.73865,24.55023
832160600,-45,0,291.0264,18.56305,69.50146,0,1629.326,22.01469,24.68549,24.5841
832160610,-45,0,289.9707,18.53372,69.30596,0,1611.73,22.01469,24.07691,25.39588
832160620,-45,0,289.6188,18.26979,68.03519,0,1592.375,21.10232,23.87391,25.32835
832160630,-45,0,288.2112,18.24047,68.2307,0,1611.73,20.66306,24.85462,24.99009
832160640,-45,0,288.563,18.29912,68.2307,0,1602.932,21.8119,24.07691,25.09148
832160650,-45,0,288.563,18.32845,68.13294,0,1599.413,20.7306,23.90778,25.93733
832160660,-45,0,289.2669,18.44575,68.91496,0,1613.49,22.08222,23.94144,24.21217
832160670,-45,0,288.563,18.35777,68.6217,0,1618.768,19.85249,23.97531,24.5841
832160680,-45,0,287.1554,18.41642,69.30596,0,1627.566,21.94696,24.04304,24.99009
832160690,-45,0,289.2669,18.47507,67.93744,0,1602.932,21.20351,24.04304,25.46361
832160700,-45,0,288.2112,18.21114,68.2307,0,1604.692,20.19015,23.70478,23.94144
832160710,-45,0,288.9149,18.35777,68.71945,0,1606.452,20.69693,23.40059,24.85462
832160720,-45,0,287.5073,18.18182,67.93744,0,1601.173,21.06845,23.97531,24.78709
832160730,-45,0,289.6188,18.44575,69.01271,0,1606.452,21.50771,23.90778,24.99009
832160740,-45,0,288.9149,18.35777,68.71945,0,1615.249,20.86566,24.00917,24.71936
832160750,-45,0,288.563,18.3871,68.71945,0,1606.452,21.27125,23.0962,25.09148
832160760,-45,0,288.563,18.32845,68.6217,0,1601.173,20.69693,23.50199,25.93733
832160770,-45,0,288.2112,18.3871,68.52395,0,1601.173,21.47404,23.06253,25.19288
832160780,-45,0,287.5073,18.18182,67.93744,0,1602.932,21.57544,24.41496,24.44883
832160790,-45,0,288.563,18.15249,67.05767,0,1604.692,21.54157,25.70047,24.78709
832160800,-45,0,289.2669,18.3871,68.81721,0,1625.806,20.22401,24.85462,24.3811
832160810,-45,0,290.6745,18.44575,69.30596,0,1627.566,22.62308,24.78709,24.21217
832160820,-45,0,288.563,18.26979,68.03519,0,1574.78,21.47404,24.5841,24.55023
