TS,Tamb,Hamb,DirVento,VelVento,NivelAgua,NivelAguaC,radSolar,Ttanque1,Ttanque2,Ttanque3
1784602800,27.9614,79.79401,90,0,232,,1,28.30656,28.44203,24.4827
1784602800,27.87594,79.52392,90,0,232,,1,28.20496,28.34043,24.44883
1784602801,27.90532,79.62463,90,0,232,,1,28.20496,28.54363,24.51636
1784602802,27.87594,79.51324,90,0,232,,1,28.30656,28.47589,24.51636
1784602802,27.93202,79.57885,90,0,232,,1,28.30656,28.44203,24.41496
1784602803,27.91867,79.60632,90,0,232,,1,28.20496,28.3743,24.44883
1784602804,27.91867,79.6704,90,0,232,,1,28.30656,28.50976,24.44883
1784602804,27.8893,79.73754,90,0,232,,1,28.2727,28.34043,24.44883
1784602805,27.83322,79.65972,90,0,232,,1,28.23883,28.54363,24.51636
1784602806,27.90532,79.71923,90,0,232,,1,28.20496,28.3743,24.55023
1784602807,27.90532,79.74822,90,0,232,,1,28.20496,28.47589,24.4827
1784602807,27.84657,79.73449,90,0,232,,1,28.34043,28.30656,24.44883
1784602808,27.90532,79.63378,90,0,232,,1,28.34043,28.50976,24.41496
1784602809,27.86259,79.63378,90,0,232,,1,28.30656,28.50976,24.51636
1784602809,27.90532,79.83368,90,0,232,,1,28.2727,28.40816,24.44883
1784602810,27.94537,79.76044,90,0,232,,1,28.44203,28.54363,24.51636
1784602811,27.83322,79.72076,90,0,232,,1,28.30656,28.54363,24.4827
1784602811,27.9614,79.84741,90,0,232,,1,28.20496,28.44203,24.51636
1784602812,27.91867,79.94965,90,0,232,,1,28.30656,28.3743,24.51636
1784602813,27.94537,80,90,0,232,,1,28.23883,28.47589,24.41496
1784602813,27.9881,80.14648,90,0,233,,1,28.2727,28.54363,24.55023
1784602814,27.9614,80.08698,90,0,232,,1,28.13723,28.44203,24.4827
1784602815,28.00145,80.20142,90,0,232,,1,28.2727,28.47589,24.55023
1784602815,27.94537,79.92676,90,0,232,,1,28.3743,28.3743,24.41496
1784602816,27.84657,80.06714,90,0,232,,1,28.3743,28.47589,24.5841
1784602817,27.94537,79.98932,90,0,232,,1,28.30656,28.3743,24.41496
1784602817,27.94537,79.91608,90,0,232,,1,28.30656,28.3743,24.41496
1784602818,27.91867,79.80621,90,0,232,,1,28.34043,28.47589,24.3811
1784602819,28.03082,79.75128,90,0,232,,1,28.2727,28.61136,24.5841
1784602819,27.97475,79.73754,90,0,232,,1,28.1711,28.47589,24.4827
1784602820,27.91867,79.96185,90,0,232,,1,28.2727,28.34043,24.44883
1784602821,27.86259,80.1236,90,0,232,,1,28.34043,28.40816,24.5841
1784602821,27.93202,80.30976,90,0,232,,1,28.1711,28.47589,24.41496
1784602822,27.90532,80.68665,90,0,232,,1,28.20496,28.40816,24.41496
1784602823,27.84657,80.67139,90,0,232,,1,28.34043,28.44203,24.51636
1784602824,27.94537,80.7187,90,0,233,,1,28.30656,28.44203,24.4827
1784602824,27.93202,80.71412,90,0,232,,1,28.20496,28.47589,24.41496
1784602825,27.91867,80.76448,90,0,232,,1,28.23883,28.3743,24.55023
1784602826,27.80651,80.74616,90,0,232,,1,28.23883,28.54363,24.44883
1784602826,27.91867,80.88808,90,0,232,,1,28.3743,28.47589,24.4827
1784602827,27.93202,80.83162,90,0,232,,1,28.2727,28.54363,24.4827
1784602828,27.93202,80.84077,90,0,232,,1,28.20496,28.50976,24.44883
1784602828,27.97475,81.01625,90,0,232,,1,28.1711,28.54363,24.4827
1784602829,27.93202,81.20393,90,0,232,,1,28.30656,28.3743,24.4827
1784602830,27.93202,81.47402,90,0,232,,1,28.30656,28.44203,24.3811
1784602830,27.86259,81.6022,90,0,232,,1,28.34043,28.54363,24.41496
1784602831,27.84657,81.73495,90,0,232,,1,28.2727,28.54363,24.4827
1784602832,27.90532,81.73037,90,0,232,,1,28.20496,28.3743,24.3811
1784602832,27.97475,81.89365,90,0,232,,1,28.2727,28.50976,24.34743
1784602833,27.9881,81.69833,90,0,232,,1,28.13723,28.3743,24.51636
1784602834,27.94537,81.60525,90,0,233,,1,28.2727,28.40816,24.4827
1784602834,27.9614,81.45419,90,0,232,,1,28.23883,28.47589,24.55023
1784602835,27.93202,81.37179,90,0,232,,1,28.23883,28.54363,24.4827
1784602836,27.86259,81.20851,90,0,232,,1,28.3743,28.44203,24.4827
1784602836,27.97475,81.04829,90,0,232,,1,28.2727,28.50976,24.3811
1784602837,27.9614,81.02388,90,0,232,,1,28.20496,28.57749,24.41496
1784602838,27.93202,80.88197,90,0,232,,1,28.34043,28.34043,24.44883
1784602838,27.9614,80.71259,90,0,232,,1,28.23883,28.61136,24.44883
1784602839,27.94537,80.58442,90,0,232,,1,28.3743,28.54363,24.41496
1784602840,27.91867,80.41047,90,0,232,,1,28.3743,28.50976,24.44883
1784602841,27.87594,80.21057,90,0,232,,1,28.1711,28.44203,24.44883
1784602841,28.00145,80.07782,90,0,232,,1,28.34043,28.3743,24.41496
1784602842,27.86259,80.03204,90,0,232,,1,28.34043,28.50976,24.4827
1784602843,27.87594,79.94965,90,0,232,,1,28.23883,28.44203,24.3811
1784602843,27.90532,80.02136,90,0,232,,1,28.34043,28.44203,24.4827
1784602844,28.00145,80.18158,90,0,232,,1,28.3743,28.3743,24.41496
1784602845,27.94537,80.2823,90,0,232,,1,28.13723,28.30656,24.4827
1784602845,27.91867,80.43031,90,0,232,,1,28.30656,28.44203,24.3811
1784602846,27.91867,80.50355,90,0,232,,1,28.1711,28.47589,24.44883
1784602847,27.94537,80.48981,90,0,232,,1,28.20496,28.47589,24.51636
1784602847,27.93202,80.64393,90,0,232,,1,28.23883,28.3743,24.44883
1784602848,27.9881,80.59357,90,0,232,,1,28.20496,28.40816,24.41496
1784602849,27.94537,80.36469,90,0,232,,1,28.20496,28.57749,24.3811
1784602849,27.9614,80.44251,90,0,232,,1,28.23883,28.2727,24.44883
1784602850,27.9881,80.44862,90,0,232,,1,28.23883,28.47589,24.55023
1784602851,27.86259,80.32349,90,0,232,,1,28.30656,28.44203,24.4827
1784602851,28.01747,80.45625,90,0,232,,1,28.2727,28.44203,24.51636
1784602852,27.91867,80.51575,90,0,232,,1,28.23883,28.54363,24.41496
1784602853,27.97475,80.65461,90,0,232,,1,28.47589,28.50976,24.4827
1784602853,27.94537,80.62562,90,0,232,,1,28.23883,28.40816,24.4827
1784602854,27.9881,80.69886,90,0,232,,1,28.1711,28.50976,24.5841
1784602855,27.93202,80.68513,90,0,233,,1,28.34043,28.57749,24.44883
1784602855,27.91867,80.70039,90,0,232,,1,28.3743,28.54363,24.44883
1784602856,27.94537,80.6775,90,0,232,,1,28.30656,28.50976,24.55023
1784602857,27.87594,80.5127,90,0,232,,1,28.3743,28.3743,24.4827
1784602858,27.94537,80.44709,90,0,232,,1,28.34043,28.61136,24.4827
1784602858,27.97475,80.36164,90,0,232,,1,28.34043,28.40816,24.44883
1784602859,27.94537,80.29145,90,0,232,,1,28.2727,28.30656,24.41496
1784602860,27.94537,80.29145,90,0,232,,1,28.10336,28.47589,24.5841
1784602860,27.90532,80.177,90,0,232,,1,28.23883,28.47589,24.41496
1784602861,27.86259,80.29145,90,0,232,,1,28.20496,28.30656,24.41496
1784602862,27.91867,80.33723,90,0,232,,1,28.30656,28.47589,24.51636
1784602862,27.97475,80.52949,90,0,233,,1,28.2727,28.54363,24.34743
1784602863,27.91867,80.67139,90,0,232,,1,28.34043,28.3743,24.41496
1784602864,28.01747,80.86061,90,0,232,,1,28.20496,28.54363,24.4827
1784602864,27.94537,81.20851,90,0,232,,1,28.23883,28.3743,24.4827
1784602865,27.9614,81.48318,90,0,232,,1,28.2727,28.50976,24.3811
